"id";"secid";"open";"close";"high";"low";"value";"volume";"dt";"dt_end"
17972;"IMOEX";2948.87;2975.36;2975.36;2943.74;53262100574.35;0.0;2023-07-25 00:00:00.000;2023-07-25 23:59:59.000
17973;"IMOEX";2974.21;2970.42;2982.47;2954.9;56856463588;0.0;2023-07-26 00:00:00.000;2023-07-26 23:59:59.000
17974;"IMOEX";2975.52;2987.85;2992.47;2975.52;62041044277.65;0.0;2023-07-27 00:00:00.000;2023-07-27 23:59:59.000
17975;"IMOEX";2986.35;3008.61;3008.61;2978.12;52041795977.65;0.0;2023-07-28 00:00:00.000;2023-07-28 23:59:59.000
17976;"IMOEX";3026.93;3073.5;3073.5;3026.93;97511677780.55;0.0;2023-07-31 00:00:00.000;2023-07-31 23:59:59.000
17977;"IMOEX";3085.97;3093.64;3114.56;3055.25;103557085530.9;0.0;2023-08-01 00:00:00.000;2023-08-01 23:59:59.000
17978;"IMOEX";3096.72;3106.46;3123.45;3080.63;67996962269.65;0.0;2023-08-02 00:00:00.000;2023-08-02 23:59:59.000
17979;"IMOEX";3111.7;3147.8;3150.28;3094.27;90891719857.2;0.0;2023-08-03 00:00:00.000;2023-08-03 23:59:59.000
17980;"IMOEX";3158.53;3092.44;3194.83;3073.69;150969000582.9;0.0;2023-08-04 00:00:00.000;2023-08-04 23:59:59.000
17981;"IMOEX";3120.54;3084.08;3153.6;3084.08;72453714916.85;0.0;2023-08-07 00:00:00.000;2023-08-07 23:59:59.000
17982;"IMOEX";3077.63;3085.31;3092.54;3026.72;76068844687.75;0.0;2023-08-08 00:00:00.000;2023-08-08 23:59:59.000
17983;"IMOEX";3106.03;3099.52;3120.25;3083.77;52718489763.7;0.0;2023-08-09 00:00:00.000;2023-08-09 23:59:59.000
17984;"IMOEX";3122.06;3148.86;3148.86;3115.85;76284260011.95;0.0;2023-08-10 00:00:00.000;2023-08-10 23:59:59.000
17985;"IMOEX";3158.59;3155.51;3163.47;3138.04;58933369741.8;0.0;2023-08-11 00:00:00.000;2023-08-11 23:59:59.000
17986;"IMOEX";3186.47;3131.0;3225.78;3117.31;145236568216;0.0;2023-08-14 00:00:00.000;2023-08-14 23:59:59.000
17987;"IMOEX";3083.32;3115.25;3163.74;3068.66;101365702525.95;0.0;2023-08-15 00:00:00.000;2023-08-15 23:59:59.000
17988;"IMOEX";3109.46;3049.46;3122.34;3015.57;102092119719;0.0;2023-08-16 00:00:00.000;2023-08-16 23:59:59.000
17989;"IMOEX";3069.81;3059.02;3076.31;3031.73;58197839880.9;0.0;2023-08-17 00:00:00.000;2023-08-17 23:59:59.000
17990;"IMOEX";3077.78;3111.22;3111.22;3058.01;52548201795.55;0.0;2023-08-18 00:00:00.000;2023-08-18 23:59:59.000
17991;"IMOEX";3139.29;3139.93;3150.61;3122.37;67735783243.5;0.0;2023-08-21 00:00:00.000;2023-08-21 23:59:59.000
17992;"IMOEX";3146.42;3164.25;3172.3;3124.19;83064853846.2;0.0;2023-08-22 00:00:00.000;2023-08-22 23:59:59.000
17993;"IMOEX";3180.39;3146.2;3184.17;3113.24;77548993173.5;0.0;2023-08-23 00:00:00.000;2023-08-23 23:59:59.000
17994;"IMOEX";3117.02;3137.37;3137.37;3108.17;40282143311.7;0.0;2023-08-24 00:00:00.000;2023-08-24 23:59:59.000
17995;"IMOEX";3150.03;3157.33;3158.61;3132.07;39505389067.35;0.0;2023-08-25 00:00:00.000;2023-08-25 23:59:59.000
17996;"IMOEX";3161.36;3198.72;3202.24;3161.36;63409284339.85;0.0;2023-08-28 00:00:00.000;2023-08-28 23:59:59.000
17997;"IMOEX";3205.06;3211.36;3218.4;3191.31;83871175803.25;0.0;2023-08-29 00:00:00.000;2023-08-29 23:59:59.000
17998;"IMOEX";3214.11;3212.68;3220.85;3193.18;71358246002.45;0.0;2023-08-30 00:00:00.000;2023-08-30 23:59:59.000
